arrival time,current_floor,final_floor,selfish
08:00:02.780,5,7,0
08:00:04.200,6,0,0
08:00:08.430,5,0,0
08:00:08.560,7,6,0
08:00:10.760,7,1,0
08:00:21.170,5,0,0
08:00:21.760,4,5,0
08:00:22.50,4,2,0
08:00:23.640,6,5,0
08:00:24.180,3,0,0
08:00:26.290,5,2,0
08:00:29.640,1,4,0
08:00:30.310,5,3,0
08:00:30.550,0,7,0
08:00:32.30,0,2,0
08:00:32.710,5,3,0
08:00:33.10,4,1,0
08:00:36.700,6,4,0
08:00:37.10,6,5,0
08:00:37.230,6,4,0
08:00:37.270,5,2,0
08:00:39.380,4,7,0
08:00:41.680,1,3,0
08:00:42.810,1,5,0
08:00:43.920,4,5,0
08:00:48.340,4,5,0
08:00:48.570,6,3,0
08:00:50.370,2,7,0
08:00:55.300,7,1,0
08:00:55.630,0,2,0
08:00:57.490,3,0,0
08:00:57.820,3,6,0
08:01:05.810,3,7,0
08:01:08.330,4,3,0
08:01:09.540,7,5,0
08:01:11.630,6,1,0
08:01:15.230,7,4,0
08:01:16.880,5,0,0
08:01:16.960,5,0,0
08:01:25.660,6,0,0
08:01:26.130,4,7,0
08:01:26.700,4,3,0
08:01:31.120,0,4,0
08:01:31.430,3,7,0
08:01:31.930,2,5,0
08:01:36.230,2,7,0
08:01:40.780,6,0,0
08:01:45.830,7,6,0
08:01:47.780,1,3,0
08:01:49.540,6,5,0
08:01:49.800,7,0,0
08:01:49.90,6,2,0
08:01:50.130,7,6,0
08:01:53.740,6,1,0
08:01:56.510,6,1,0
08:01:56.60,6,2,0
08:01:57.370,3,5,0
08:01:57.60,6,1,0
08:01:57.770,0,2,0
08:01:58.250,3,0,0
08:02:04.600,5,3,0
08:02:05.830,7,1,0
08:02:10.350,6,0,0
08:02:19.350,5,6,0
08:02:21.770,2,7,0
08:02:25.810,0,3,0
08:02:26.540,0,6,0
08:02:28.770,1,2,0
08:02:33.840,0,4,0
08:02:34.830,4,1,0
08:02:35.240,7,2,0
08:02:35.450,6,1,0
08:02:35.580,0,4,0
08:02:35.840,2,1,0
08:02:36.280,7,0,0
08:02:39.550,4,3,0
08:02:42.790,5,2,0
08:02:43.130,0,7,0
08:02:58.190,7,2,0
08:03:02.800,7,4,0
08:03:05.970,3,4,0
08:03:18.270,1,4,0
08:03:19.740,6,4,0
08:03:23.260,4,2,0
08:03:29.970,1,0,0
08:03:31.970,0,3,0
08:03:41.350,3,2,0
08:03:41.380,3,5,0
08:03:43.240,3,4,0
08:03:48.250,2,0,0
08:03:51.190,7,5,0
08:03:51.670,2,7,0
08:03:52.170,1,4,0
08:03:52.780,6,0,0
08:03:55.300,0,3,0
08:03:58.100,3,7,0
08:04:02.460,5,0,0
08:04:04.420,1,6,0
08:04:05.470,4,3,0
08:04:09.160,3,4,0
08:04:11.120,7,5,0
08:04:11.680,1,0,0
08:04:12.870,2,1,0
08:04:13.130,1,4,0
08:04:13.970,4,3,0
08:04:14.120,3,4,0
08:04:16.530,5,0,0
08:04:17.60,4,1,0
08:04:20.700,1,0,0
08:04:22.100,7,3,0
08:04:22.970,5,0,0
08:04:24.140,6,0,0
08:04:24.300,5,3,0
08:04:38.490,5,3,0
08:04:43.290,0,4,0
08:04:46.370,2,6,0
08:04:50.550,5,6,0
08:04:53.00,4,0,0
08:04:57.720,7,6,0
08:05:02.330,4,5,0
08:05:06.580,1,6,0
08:05:07.270,5,1,0
08:05:12.20,2,6,0
08:05:15.390,4,2,0
08:05:23.380,0,4,0
08:05:26.980,0,2,0
08:05:29.530,0,7,0
08:05:33.350,6,3,0
08:05:34.340,7,1,0
08:05:36.690,7,6,0
08:05:37.620,4,3,0
08:05:51.670,6,1,0
08:05:58.100,0,2,0
08:06:02.260,6,3,0
08:06:10.260,3,0,0
08:06:14.320,7,5,0
08:06:20.820,3,5,0
08:06:21.950,6,7,0
08:06:25.440,5,2,0
08:06:26.180,3,1,0
08:06:31.540,4,3,0
08:06:32.90,4,0,0
08:06:34.220,1,4,0
08:06:36.780,0,6,0
08:06:41.630,5,2,0
08:06:43.590,2,1,0
08:06:44.550,7,3,0
08:06:47.780,0,7,0
08:06:54.70,7,0,0
08:07:00.210,2,5,0
08:07:01.110,6,3,0
08:07:02.610,2,5,0
08:07:03.730,4,3,0
08:07:11.620,2,4,0
08:07:12.560,3,5,0
08:07:16.810,1,7,0
08:07:20.680,3,7,0
08:07:30.430,1,4,0
08:07:31.40,5,1,0
08:07:38.290,3,1,0
08:07:40.510,3,5,0
08:07:40.810,4,7,0
08:07:41.550,2,3,0
08:07:44.800,7,3,0
08:07:45.90,1,7,0
08:07:46.410,1,0,0
08:07:49.420,4,5,0
08:07:55.740,5,1,0
08:08:02.820,6,0,0
08:08:05.420,7,4,0
08:08:07.40,4,6,0
08:08:08.850,3,1,0
08:08:09.90,0,3,0
08:08:14.650,0,1,0
08:08:15.230,5,3,0
08:08:16.730,7,1,0
08:08:22.570,6,5,0
08:08:24.520,2,3,0
08:08:27.260,0,6,0
08:08:28.90,0,3,0
08:08:31.30,0,3,0
08:08:33.710,4,0,0
08:08:37.770,0,4,0
08:08:39.290,3,5,0
08:08:48.160,3,6,0
08:08:48.200,6,4,0
08:08:49.90,7,5,0
08:08:50.450,2,1,0
08:08:52.920,3,6,0
08:08:57.110,1,2,0
08:08:58.890,0,5,0
08:09:01.260,6,1,0
08:09:07.340,5,3,0
08:09:10.460,0,6,0
08:09:10.480,2,7,0
08:09:14.440,3,2,0
08:09:17.610,5,2,0
08:09:20.590,2,7,0
08:09:21.940,3,0,0
08:09:25.20,0,6,0
08:09:25.670,7,6,0
08:09:27.610,3,7,0
08:09:29.60,4,1,0
08:09:30.810,4,6,0
08:09:40.280,4,2,0
08:09:40.430,3,0,0
08:09:42.770,5,6,0
08:09:42.860,4,5,0
08:09:42.900,1,7,0
08:09:46.380,5,7,0
08:09:50.160,5,4,0
08:09:52.290,6,1,0
08:09:58.370,5,7,0
08:09:58.840,7,2,0
08:10:06.700,7,5,0
08:10:11.650,7,1,0
08:10:12.240,6,3,0
08:10:12.340,4,5,0
08:10:13.330,6,0,0
08:10:15.870,2,6,0
08:10:16.630,7,5,0
08:10:17.500,5,6,0
08:10:25.210,2,4,0
08:10:27.340,6,0,0
08:10:27.410,2,3,0
08:10:30.870,0,3,0
08:10:38.750,1,3,0
08:10:39.260,2,0,0
08:10:39.650,5,6,0
08:10:43.180,2,1,0
08:10:44.880,4,0,0
08:10:47.200,0,1,0
08:10:49.270,1,4,0
08:10:51.330,4,7,0
08:10:53.470,2,7,0
08:10:55.790,4,2,0
08:10:57.360,2,1,0
08:10:58.660,6,5,0
08:11:05.350,3,7,0
08:11:10.130,5,7,0
08:11:11.360,3,2,0
08:11:17.350,3,4,0
08:11:18.850,4,7,0
08:11:25.980,2,3,0
08:11:29.660,7,6,0
