arrival_time,from_floor,to_floor,mannerly,waiting,in_elevator
08:00:02.780,5,7,1,9.36,14.38
08:00:04.200,6,0,1,37.9,76.41
08:00:08.430,5,0,1,36.28,54.1
08:00:08.560,7,6,1,18.98,13.54
08:00:10.760,7,1,1,17.79,76.5
08:00:21.170,5,0,1,24.55,52.08
08:00:21.760,4,5,1,9.4,12.53
08:00:22.50,4,2,1,0.0,0.0
08:00:23.640,6,5,1,19.47,19.44
08:00:24.180,3,0,1,42.03,30.58
08:00:26.290,5,2,1,20.44,34.03
08:00:29.640,1,4,1,8.43,34.17
08:00:30.310,5,3,1,17.43,17.45
08:00:30.550,0,7,1,69.28,77.16
08:00:32.30,0,2,1,0.0,0.0
08:00:32.710,5,3,1,16.04,15.43
08:00:33.10,4,1,1,0.0,0.0
08:00:36.700,6,4,1,7.42,31.98
08:00:37.10,6,5,1,0.0,0.0
08:00:37.230,6,4,1,7.9,29.96
08:00:37.270,5,2,1,12.49,29.99
08:00:39.380,4,7,1,33.88,41.65
08:00:41.680,1,3,1,1.62,15.33
08:00:42.810,1,5,1,1.5,45.52
08:00:43.920,4,5,1,30.35,14.55
08:00:48.340,4,5,1,26.94,12.53
08:00:48.570,6,3,1,1.45,40.7
08:00:50.370,2,7,1,67.51,58.1
08:00:55.300,7,1,1,60.63,91.44
08:00:55.630,0,2,1,45.21,16.02
08:00:57.490,3,0,1,9.73,28.56
08:00:57.820,3,6,1,1.83,42.72
08:01:05.810,3,7,1,94.21,31.84
08:01:08.330,4,3,1,8.79,12.59
08:01:09.540,7,5,1,47.4,43.89
08:01:11.630,6,1,1,71.62,62.1
08:01:15.230,7,4,1,42.72,57.44
08:01:16.880,5,0,1,84.97,65.61
08:01:16.960,5,0,1,85.9,63.59
08:01:25.660,6,0,1,58.6,85.22
08:01:26.130,4,7,1,49.21,38.62
08:01:26.700,4,3,1,89.71,12.59
08:01:31.120,0,4,1,10.73,32.47
08:01:31.430,3,7,1,69.6,29.82
08:01:31.930,2,5,1,26.96,28.98
08:01:36.230,2,7,1,23.67,55.07
08:01:40.780,6,0,1,44.49,83.2
08:01:45.830,7,6,1,13.13,23.27
08:01:47.780,1,3,1,25.21,26.01
08:01:49.540,6,5,1,36.74,13.54
08:01:49.800,7,0,1,10.17,110.52
08:01:49.90,6,2,1,0.0,0.0
08:01:50.130,7,6,1,10.85,20.24
08:01:53.740,6,1,1,33.55,57.05
08:01:56.510,6,1,1,88.91,47.34
08:01:56.60,6,2,1,0.0,0.0
08:01:57.370,3,5,1,44.67,14.42
08:01:57.60,6,1,1,0.0,0.0
08:01:57.770,0,2,1,1.76,25.92
08:01:58.250,3,0,1,71.77,35.42
08:02:04.600,5,3,1,73.6,30.18
08:02:05.830,7,1,1,2.86,77.67
08:02:10.350,6,0,1,76.08,62.82
08:02:19.350,5,6,1,9.54,12.53
08:02:21.770,2,7,1,4.7,46.4
08:02:25.810,0,3,1,85.7,35.63
08:02:26.540,0,6,1,85.98,83.41
08:02:28.770,1,2,1,133.95,16.5
08:02:33.840,0,4,1,79.69,55.3
08:02:34.830,4,1,1,57.93,45.68
08:02:35.240,7,2,1,22.77,67.96
08:02:35.450,6,1,1,51.99,44.31
08:02:35.580,0,4,1,78.96,53.28
08:02:35.840,2,1,1,81.43,13.47
08:02:36.280,7,0,1,22.74,97.15
08:02:39.550,4,3,1,54.22,13.6
08:02:42.790,5,2,1,36.42,44.74
08:02:43.130,0,7,1,72.42,94.94
08:02:58.190,7,2,1,1.84,64.93
08:03:02.800,7,4,1,1.01,27.93
08:03:05.970,3,4,1,82.19,18.65
08:03:18.270,1,4,1,85.46,32.95
08:03:19.740,6,4,1,8.71,14.38
08:03:23.260,4,2,1,11.52,28.16
08:03:29.970,1,0,1,1.01,13.45
08:03:31.970,0,3,1,24.59,29.57
08:03:41.350,3,2,1,8.05,12.53
08:03:41.380,3,5,1,47.79,32.2
08:03:43.240,3,4,1,46.94,15.62
08:03:48.250,2,0,1,10.03,29.96
08:03:51.190,7,5,1,66.67,31.13
08:03:51.670,2,7,1,20.92,76.89
08:03:52.170,1,4,1,52.57,30.93
08:03:52.780,6,0,1,81.66,80.58
08:03:55.300,0,3,1,2.27,27.55
08:03:58.100,3,7,1,33.09,57.28
08:04:02.460,5,0,1,87.55,62.99
08:04:04.420,1,6,1,41.33,58.03
